"IDBRANCA","COD_BRANCA","IDBRANCA_PADRE","DESC_BRANCA","LIVELLO","PREMESSE","IDNOMENCLATORE"
"111",,"16","Analisi cliniche","1","Premesse specifiche di branca. Il prelievo è compreso nella tariffa dell'esame a cui si riferisce, salvo i casi specificatamente descritti nella sezione ""Prelievi"". Le analisi si intendono eseguite con qualsiasi tecnica e metodica e la tariffa si intende cadauna. Se non diversamente specificato, gli esami sono riferiti a qualsiasi tipo di liquido o tessuto biologico. Le analisi di laboratorio e le procedure medico-chirurgiche previste per il trattamento delle cellule staminali sono liquidabili solo se presenti nei regolamenti dei Mandanti. Tutte le analisi di laboratorio elencate nel Nomenclatore Tariffario sono liquidabili solo ed esclusivamente se fatturate da laboratori di analisi regolarmente autorizzati. Si rimborsano tutti gli accertamenti, comprese le analisi genetiche, eseguiti unicamente con finalità diagnostico-terapeutiche e secondo i protocolli diagnostici validati dalla medicina convenzionale, se non diversamente previsto nei regolamenti dei Mandanti.","1"
"116",,"16","Diagnostica per immagini - Ecografia e diagnostica vascolare - Ecografia","1","Premesse specifiche di branca. Tutte le prestazioni si considerano eseguite con qualsiasi tecnica, metodica ed apparecchiatura. In caso di esami eseguiti nel corso della stessa seduta, le tariffe degli esami successivi al primo si intendono ridotte del 50%. Per addome superiore si intende: fegato, pancreas, milza, vasi addominali. Per addome inferiore-pelvi si intende: reni, vescica, prostata e vescicole seminali (per uomo); reni, utero, annessi, vescica (per donna). Gli esami si riferiscono ad entrambi i lati, comprensivi dello studio del circolo arterioso e venoso. Le tariffe esposte sono valide anche per qualsiasi esame doppler che associ altre tecniche e metodiche quali laser, etc.","1"
"117",,"16","Diagnostica per immagini - Ecografia e diagnostica vascolare - Diagnostica vascolare","1",,"1"
"118",,"16","Diagnostica per immagini - Mineralometria - Densitometria ossea","1","Premesse specifiche di branca Per segmenti ossei s’intendono: grandi (femore, omero, tibia); medi (clavicola, sterno, rotula, radio, ulna, perone); piccoli (i restanti). Per tratto s’intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale.","1"
"119",,"16","Diagnostica per immagini - Radiologia tradizionale","1","Premesse specifiche di branca. Gli esami si intendono completi di tutte le proiezioni, radiogrammi necessari, qualsiasi contrasto utilizzato e/o insufflazione gassosa e di qualsiasi prestazione professionale necessaria, compresa assistenza per scopia. Per tratto s’intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale.","1"
"120",,"16","Diagnostica per immagini - Risonanza Magnetica Nucleare","1","Premesse specifiche di branca. Gli esami si intendono completi di tutte le sequenze di acquisizione necessarie, della prestazione anestesiologica ove necessaria e di eventuali altri operatori medici. Per ogni ulteriore esame o tratto esaminato oltre al primo, nel corso della stessa seduta, s'intende applicata la tariffa prevista ridotta del 50%. Qualsiasi esame eseguito ""con contrasto"" o ""senza e con contrasto"", sarà aumentato della relativa tariffa descritta per il contrasto. Per segmenti ossei s’intendono: grandi (femore, omero, tibia); medi (clavicola, sterno, rotula, radio, ulna, perone); piccoli (i restanti). Per articolazioni o distretti articolari s’intendono: grandi (anca, ginocchio, spalla); medie (gomito, polso, tibio-peroneo-astragalica); piccole (le restanti). Per tratto s’intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale. Per distretto vascolare s'intende lo studio dei vasi cerebrali o sovraortici o toracici od addominali-splancnici o di un metamero spinale o di un arto. Gli esami s'intendono eseguiti con qualsiasi apparecchiatura / strumentazione.","1"
"121",,"16","Diagnostica per immagini - Tomografia Computerizzata","1","Premesse specifiche di branca. Gli esami si intendono completi dello scanogramma e delle scansioni necessarie, della prestazione anestesiologica ove necessaria e di eventuali altri operatori medici. Per ogni ulteriore esame o tratto esaminato oltre al primo, nel corso della stessa seduta, s'intende applicata la tariffa prevista ridotta del 50%. Qualsiasi esame eseguito ""con contrasto"" o ""senza e con contrasto"", sarà aumentato della relativa tariffa descritta per il contrasto. Per segmenti ossei s’intendono: grandi (femore, omero, tibia); medi (clavicola, sterno, rotula, radio, ulna, perone); piccoli (i restanti). Per articolazioni o distretti articolari s’intendono: grandi (anca, ginocchio, spalla); medie (gomito, polso, tibio-peroneo-astragalica); piccole (le restanti). Per tratto s’intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale. Per distretto vascolare s'intende lo studio dei vasi cerebrali o sopraortici o toracici od addominali-splancnici o di un metamero spinale o di un arto. Gli esami s'intendono eseguiti con qualsiasi apparecchiatura / strumentazione.","1"
"122",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Apparato circolatorio","1","Premesse specifiche di branca. Le tariffe si intendono comprensive dei medicinali, degli indicatori, dei materiali d'uso e dell'assistenza cardiologica ed anestesiologica, ove necessaria. Le tariffe sono comprese di eventuali test farmacologici, ergometrici e qualsiasi tipo di procedura diagnostica provocativa.","1"
"123",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Apparato digerente","1",,"1"
"124",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Apparato emopoietico","1",,"1"
